key,en,hi,mr,de,fr,es,ko,ta,te,kn,ml,bn,gu,ur,ar,th,vi
tagline,Selection & RFQ Suite,चयन और RFQ सुइट,निवड आणि RFQ सुइट,Auswahl & Anfrage,Sélection & demande de prix,Selección y solicitud,선정 및 견적 요청,,,,,,,,,,
nav_home,Home,होम,मुख्यपृष्ठ,Start,Accueil,Inicio,홈,,,,,,,,,,
nav_shock,Buffers & shock absorbers,बफर और शॉक एब्ज़ॉर्बर,बफर व शॉक अ‍ॅब्सॉर्बर,Puffer & Stoßdämpfer,Butoirs & amortisseurs,Topes y amortiguadores,버퍼 및 쇼크업소버,,,,,,,,,,
nav_wri,Wire rope isolators,वायर रोप आइसोलेटर,वायर रोप आयसोलेटर,Drahtseil-Isolatoren,Isolateurs à câble,Aisladores de cable,와이어로프 아이솔레이터,,,,,,,,,,
nav_rubber,Rubber mounts,रबर माउंट,रबर माउंट,Gummilager,Plots caoutchouc,Soportes de goma,고무 마운트,,,,,,,,,,
nav_admin,Admin,एडमिन,अ‍ॅडमिन,Admin,Admin,Admin,관리자,,,,,,,,,,
nav_login,Sign in,साइन इन,साइन इन,Anmelden,Connexion,Iniciar sesión,로그인,,,,,,,,,,
home_title,What do you need to protect?,आपको क्या सुरक्षित करना है?,तुम्हाला काय सुरक्षित करायचे आहे?,Was möchten Sie schützen?,Que devez-vous protéger ?,¿Qué necesita proteger?,무엇을 보호해야 합니까?,,,,,,,,,,
home_sub,"Pick a product line. Each selector calculates the duty in MKS units, ranks the models that pass every check, and lets you request drawings and a quotation in one step.","एक उत्पाद श्रेणी चुनें। हर सेलेक्टर MKS इकाइयों में गणना करता है, सभी जाँचों में पास मॉडल रैंक करता है, और एक ही चरण में ड्राइंग व कोटेशन का अनुरोध करने देता है।","उत्पादन प्रकार निवडा. प्रत्येक सिलेक्टर MKS एककांत गणना करतो, सर्व तपासण्या पास होणारी मॉडेल्स क्रमवारीत दाखवतो आणि एका पायरीत ड्रॉइंग व कोटेशन मागवू देतो.","Wählen Sie eine Produktlinie. Jeder Selektor rechnet in MKS-Einheiten, sortiert die Modelle, die alle Prüfungen bestehen, und ermöglicht Zeichnungs- und Angebotsanfrage in einem Schritt.","Choisissez une gamme. Chaque sélecteur calcule en unités MKS, classe les modèles qui passent tous les contrôles et permet de demander plans et devis en une étape.","Elija una línea de producto. Cada selector calcula en unidades MKS, clasifica los modelos que superan todas las comprobaciones y permite pedir planos y cotización en un paso.","제품군을 선택하세요. 각 선정 도구는 MKS 단위로 계산하고, 모든 검사를 통과한 모델을 순위화하며, 도면과 견적을 한 번에 요청할 수 있습니다.",,,,,,,,,,
line_crane,Crane buffers,क्रेन बफर,क्रेन बफर,Kranpuffer,Butoirs de pont roulant,Topes de grúa,크레인 버퍼,,,,,,,,,,
line_crane_sub,"EOT, gantry & wagon end stops — hydraulic, spring and polyurethane (IS 3177, ISO 8686, FEM, CMAA)","EOT, गैंट्री और वैगन एंड स्टॉप — हाइड्रोलिक, स्प्रिंग व पॉलीयूरेथेन (IS 3177, ISO 8686, FEM, CMAA)","EOT, गॅन्ट्री व वॅगन एंड स्टॉप — हायड्रॉलिक, स्प्रिंग व पॉलीयुरेथेन (IS 3177, ISO 8686, FEM, CMAA)","Endanschläge für Brücken-, Portalkrane & Wagen — hydraulisch, Feder, Polyurethan (IS 3177, ISO 8686, FEM, CMAA)","Butées de fin de course ponts, portiques et wagons — hydrauliques, à ressort, polyuréthane (IS 3177, ISO 8686, FEM, CMAA)","Topes finales para puentes grúa, pórticos y vagones — hidráulicos, de resorte y poliuretano (IS 3177, ISO 8686, FEM, CMAA)","천장·갠트리 크레인 및 대차 엔드스톱 — 유압, 스프링, 폴리우레탄 (IS 3177, ISO 8686, FEM, CMAA)",,,,,,,,,,
line_industrial,Industrial shock absorbers,औद्योगिक शॉक एब्ज़ॉर्बर,औद्योगिक शॉक अ‍ॅब्सॉर्बर,Industrie-Stoßdämpfer,Amortisseurs industriels,Amortiguadores industriales,산업용 쇼크업소버,,,,,,,,,,
line_industrial_sub,"Linear drives, swing arms, index tables, free-fall — AC / ACX / AD adjustable & self-compensating","लीनियर ड्राइव, स्विंग आर्म, इंडेक्स टेबल, फ्री-फॉल — AC / ACX / AD एडजस्टेबल व सेल्फ-कम्पेन्सेटिंग","लिनिअर ड्राइव्ह, स्विंग आर्म, इंडेक्स टेबल, फ्री-फॉल — AC / ACX / AD अ‍ॅडजस्टेबल व सेल्फ-कॉम्पेन्सेटिंग","Linearantriebe, Schwenkarme, Rundtische, freier Fall — AC / ACX / AD einstellbar & selbstkompensierend","Axes linéaires, bras pivotants, tables d’indexation, chute libre — AC / ACX / AD réglables et auto-compensés","Ejes lineales, brazos giratorios, mesas de indexado, caída libre — AC / ACX / AD ajustables y autocompensados","리니어 드라이브, 스윙암, 인덱스 테이블, 자유낙하 — AC / ACX / AD 조절식 및 자동보상식",,,,,,,,,,
line_wri,Wire rope isolators,वायर रोप आइसोलेटर,वायर रोप आयसोलेटर,Drahtseil-Isolatoren,Isolateurs à câble métallique,Aisladores de cable de acero,와이어로프 아이솔레이터,,,,,,,,,,
line_wri_sub,"Naval, vehicle, airborne & industrial shock and vibration isolation — AWRI all-metal isolators (JSS 55555, MIL-STD-810, BR 3021)","नौसैनिक, वाहन, एयरबोर्न व औद्योगिक शॉक-कंपन आइसोलेशन — AWRI ऑल-मेटल आइसोलेटर (JSS 55555, MIL-STD-810, BR 3021)","नौदल, वाहन, विमान व औद्योगिक शॉक-कंपन आयसोलेशन — AWRI ऑल-मेटल आयसोलेटर (JSS 55555, MIL-STD-810, BR 3021)","Schock- und Schwingungsisolierung für Marine, Fahrzeuge, Luftfahrt & Industrie — AWRI Ganzmetall-Isolatoren (JSS 55555, MIL-STD-810, BR 3021)","Isolation chocs et vibrations naval, véhicules, aéroporté et industriel — isolateurs tout métal AWRI (JSS 55555, MIL-STD-810, BR 3021)","Aislamiento de choque y vibración naval, vehicular, aerotransportado e industrial — aisladores metálicos AWRI (JSS 55555, MIL-STD-810, BR 3021)","함정, 차량, 항공, 산업용 충격·진동 절연 — AWRI 전금속 아이솔레이터 (JSS 55555, MIL-STD-810, BR 3021)",,,,,,,,,,
line_rubber,Rubber anti-vibration mounts,रबर एंटी-वाइब्रेशन माउंट,रबर अँटी-व्हायब्रेशन माउंट,Gummi-Schwingungsdämpfer,Plots anti-vibratoires caoutchouc,Soportes antivibratorios de goma,고무 방진 마운트,,,,,,,,,,
